id,fen,engine,move,score,wins,draws,losses,depth,seldepth,nodes,time,hashfull
843,rknrbqnb/pppppppp/8/8/8/8/PPPPPPPP/RKNRBQNB w KQkq - 0 1,Stockfish 17.1,a2a4,24,64,924,12,11,19,100875,0.018,11
844,rbknrqbn/pppppppp/8/8/8/8/PPPPPPPP/RBKNRQBN w KQkq - 0 1,Stockfish 17.1,a2a4,25,65,923,12,12,16,100371,0.019,9
845,rknbrqbn/pppppppp/8/8/8/8/PPPPPPPP/RKNBRQBN w KQkq - 0 1,Stockfish 17.1,e2e4,68,242,755,3,10,19,100296,0.018,8
846,rknrqbbn/pppppppp/8/8/8/8/PPPPPPPP/RKNRQBBN w KQkq - 0 1,Stockfish 17.1,d2d4,47,131,864,5,11,14,100905,0.016,8
847,rknrqnbb/pppppppp/8/8/8/8/PPPPPPPP/RKNRQNBB w KQkq - 0 1,Stockfish 17.1,a2a4,58,186,810,4,11,18,100341,0.016,10
848,bbrknrnq/pppppppp/8/8/8/8/PPPPPPPP/BBRKNRNQ w KQkq - 0 1,Stockfish 17.1,g2g4,82,345,653,2,12,17,100520,0.018,8
849,brkbnrnq/pppppppp/8/8/8/8/PPPPPPPP/BRKBNRNQ w KQkq - 0 1,Stockfish 17.1,f2f4,17,50,935,15,11,22,101259,0.017,11
850,brknrbnq/pppppppp/8/8/8/8/PPPPPPPP/BRKNRBNQ w KQkq - 0 1,Stockfish 17.1,e2e4,33,85,906,9,11,17,100051,0.017,10
851,brknrnqb/pppppppp/8/8/8/8/PPPPPPPP/BRKNRNQB w KQkq - 0 1,Stockfish 17.1,b2b4,27,69,920,11,11,20,100891,0.018,8
852,rbbknrnq/pppppppp/8/8/8/8/PPPPPPPP/RBBKNRNQ w KQkq - 0 1,Stockfish 17.1,e2e4,36,95,897,8,12,15,100572,0.017,8
853,rkbbnrnq/pppppppp/8/8/8/8/PPPPPPPP/RKBBNRNQ w KQkq - 0 1,Stockfish 17.1,e2e4,52,155,841,4,11,18,101345,0.018,10
854,rkbnrbnq/pppppppp/8/8/8/8/PPPPPPPP/RKBNRBNQ w KQkq - 0 1,Stockfish 17.1,e2e4,35,90,902,8,12,17,100999,0.02,6
855,rkbnrnqb/pppppppp/8/8/8/8/PPPPPPPP/RKBNRNQB w KQkq - 0 1,Stockfish 17.1,f2f4,26,67,922,11,11,22,100744,0.017,7
856,rbknbrnq/pppppppp/8/8/8/8/PPPPPPPP/RBKNBRNQ w KQkq - 0 1,Stockfish 17.1,a2a4,34,86,905,9,11,19,100565,0.017,7
857,rknbbrnq/pppppppp/8/8/8/8/PPPPPPPP/RKNBBRNQ w KQkq - 0 1,Stockfish 17.1,e2e4,35,91,901,8,12,16,100601,0.019,7
858,rknrbbnq/pppppppp/8/8/8/8/PPPPPPPP/RKNRBBNQ w KQkq - 0 1,Stockfish 17.1,a2a4,49,139,856,5,11,18,100603,0.019,6
859,rknrbnqb/pppppppp/8/8/8/8/PPPPPPPP/RKNRBNQB w KQkq - 0 1,Stockfish 17.1,f2f4,60,193,804,3,10,20,100252,0.019,6
860,rbknrnbq/pppppppp/8/8/8/8/PPPPPPPP/RBKNRNBQ w KQkq - 0 1,Stockfish 17.1,f2f4,23,61,927,12,10,17,100745,0.017,8
861,rknbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RKNBRNBQ w KQkq - 0 1,Stockfish 17.1,a2a4,31,80,911,9,13,19,100376,0.018,7
862,rknrnbbq/pppppppp/8/8/8/8/PPPPPPPP/RKNRNBBQ w KQkq - 0 1,Stockfish 17.1,a2a4,33,84,907,9,11,18,100227,0.019,8
863,rknrnqbb/pppppppp/8/8/8/8/PPPPPPPP/RKNRNQBB w KQkq - 0 1,Stockfish 17.1,a2a4,31,80,911,9,11,14,100477,0.018,8
864,bbqrkrnn/pppppppp/8/8/8/8/PPPPPPPP/BBQRKRNN w KQkq - 0 1,Stockfish 17.1,b2b3,54,164,832,4,13,22,100440,0.018,8
865,bqrbkrnn/pppppppp/8/8/8/8/PPPPPPPP/BQRBKRNN w KQkq - 0 1,Stockfish 17.1,b2b4,21,57,930,13,9,20,101344,0.017,11
866,bqrkrbnn/pppppppp/8/8/8/8/PPPPPPPP/BQRKRBNN w KQkq - 0 1,Stockfish 17.1,e2e3,113,612,387,1,10,19,100292,0.018,13
867,bqrkrnnb/pppppppp/8/8/8/8/PPPPPPPP/BQRKRNNB w KQkq - 0 1,Stockfish 17.1,b2b4,56,172,824,4,11,17,100137,0.021,10
868,qbbrkrnn/pppppppp/8/8/8/8/PPPPPPPP/QBBRKRNN w KQkq - 0 1,Stockfish 17.1,h1g3,52,153,842,5,12,23,100401,0.017,11
869,qrbbkrnn/pppppppp/8/8/8/8/PPPPPPPP/QRBBKRNN w KQkq - 0 1,Stockfish 17.1,b2b4,37,97,895,8,12,21,100380,0.017,13
870,qrbkrbnn/pppppppp/8/8/8/8/PPPPPPPP/QRBKRBNN w KQkq - 0 1,Stockfish 17.1,e2e4,31,79,912,9,11,14,100096,0.018,9
871,qrbkrnnb/pppppppp/8/8/8/8/PPPPPPPP/QRBKRNNB w KQkq - 0 1,Stockfish 17.1,b2b4,67,239,758,3,10,17,100182,0.02,10
872,qbrkbrnn/pppppppp/8/8/8/8/PPPPPPPP/QBRKBRNN w KQkq - 0 1,Stockfish 17.1,c2c4,65,224,773,3,10,17,100955,0.019,10
873,qrkbbrnn/pppppppp/8/8/8/8/PPPPPPPP/QRKBBRNN w KQkq - 0 1,Stockfish 17.1,b2b4,38,100,893,7,10,19,100112,0.018,11
874,qrkrbbnn/pppppppp/8/8/8/8/PPPPPPPP/QRKRBBNN w KQkq - 0 1,Stockfish 17.1,b2b4,48,134,861,5,14,21,100221,0.015,9
